target_id,restaurant_name,source_type,source_url,source_status,notes
T017,Delifrance,price_page,https://sgfoodprice.org/delifrance-singapore-menu/,extract_candidate,Public brand menu price page; One@KentRidge/NUH branch applicability should be reviewed
T007,Anna's x The Soup Spoon Union,price_page,https://menuprices.sg/soup-spoon-singapore-menu/,extract_candidate,Public Soup Spoon menu price page; NUS branch applicability should be reviewed
T023,Polar Cafe,price_page,https://menuprices.sg/polar-puffs-cakes-menu/,extract_candidate,Public Polar Puffs and Cakes menu price page; One@KentRidge branch applicability should be reviewed
T015,Crave Nasi Lemak,price_page,https://menuprices.sg/crave-nasi-lemak-singapore-menu/,extract_candidate,Public Crave Nasi Lemak menu price page; One@KentRidge branch applicability should be reviewed
T040,Hawkers' Street,foodpanda_indexed,https://www.foodpanda.sg/restaurant/vp5a/the-neighbourwok-hawkers-street-at-the-clementi-mall,extract_candidate,Foodpanda search-indexed public menu for a Hawkers Street Clementi Mall stall
T040,Hawkers' Street,foodpanda_indexed,https://www.foodpanda.sg/restaurant/uced/old-teochew-hawkers-street-at-the-clementi-mall,extract_candidate,Foodpanda search-indexed public menu for a Hawkers Street Clementi Mall stall
T040,Hawkers' Street,foodpanda_indexed,https://www.foodpanda.sg/restaurant/ts1f/pangs-hakka-ytf-hawkers-street-at-the-clementi-mall,extract_candidate,Foodpanda search-indexed public menu for a Hawkers Street Clementi Mall stall; may require review if access denied
T041,Toasties,article_price_mentions,https://www.misstamchiak.com/321-clementi/,extract_candidate,Article includes Toasties item price mentions for 321 Clementi branch
T044,Charcoal Thai,article_price_mentions,https://www.misstamchiak.com/321-clementi/,extract_candidate,Article includes Charcoal Thai set/buffet price mentions for 321 Clementi branch
T045,Vons Chicken,article_price_mentions,https://danielfooddiary.com/2015/11/25/vonschicken/,extract_candidate,Article includes Vons Chicken item price mentions for 321 Clementi branch
T034,Ramen Ichiro,article_price_mentions,https://danielfooddiary.com/2021/09/21/theclementimall/,extract_candidate,Article includes Ramen Ichiro menu price mentions at The Clementi Mall; note outlet may require current-status review
T040,Hawkers' Street,article_price_mentions,https://sethlui.com/hawkers-street-clementi-singapore-oct-2025/,extract_candidate,Article includes Hawkers Street Clementi item price mentions
T040,Hawkers' Street,article_price_mentions,https://www.littledayout.com/hawkers-street-clementi-mall-food-court/,extract_candidate,Article includes Hawkers Street Clementi stall item price mentions
T020,Masta Kafe,article_price_mentions,https://thefoodchapter.blogspot.com/2016/07/confinement-food-national-university.html,extract_candidate,Article includes a Masta Kafe item price mention; historical/partial menu
T026,Syed Cafe,foodpanda_indexed,https://www.foodpanda.sg/restaurant/ch6o/syed-cafe-nuh,extract_candidate,Foodpanda public menu for Syed Cafe NUH / One@KentRidge exact outlet
T010,Bistro Box,foodpanda_indexed,https://www.foodpanda.sg/restaurant/p0a6/bistro-box-by-uncle-penyet-thomson-plaza,extract_candidate,Foodpanda public menu for Bistro Box by Uncle Penyet brand; Thomson Plaza branch reference, not NUS CDE exact outlet
